mp_id,party,sex,age,highedu,phd,Terms,business,law,leadingpos,Committees,job,money,beauty,competence,likability,trustworthy,intelligence
216,CDUCSU,0,51,1,0,2,1,0,0,1,1,0,3,3.2,3.8,4.1999998,3
217,LINKE,0,55,0,0,1,1,0,0,1,3,0,4.4000001,3.4000001,3.5999999,3.8,3.4000001
218,SPD,1,52,0,0,2,0,0,0,2,2,0,2.8,2.8,2.2,2.2,2.5999999
219,SPD,0,49,1,0,6,0,0,0,1,2,0,3.4000001,3,3,3.4000001,2.8
220,CDUCSU,0,62,0,0,8,0,0,1,0,11,1000,4,3.5999999,3.8,4,3.2
221,CDUCSU,0,55,1,0,5,0,0,1,0,2,7000,3.666666,3,3.5555551,3.4444439,3
222,SPD,1,43,1,0,1,0,1,0,2,1,0,3.4000001,2.5999999,3,3,2.4000001
223,GREEN,1,46,0,0,1,0,0,0,2,4,0,3.2,3.2,3.4000001,3,3
224,LINKE,1,25,1,0,1,0,0,0,2,2,0,2.8,3.5999999,2.2,3,2.8
225,CDUCSU,0,51,1,0,2,0,0,0,2,1,0,3.5555551,3.2222221,3.8888879,3.4444439,3.2222221
226,CDUCSU,0,58,0,0,3,0,0,0,2,6,0,2.8,2.4000001,2.8,3.5999999,2.5999999
227,SPD,0,62,1,0,4,0,0,0,4,4,0,4,3.2,3.4000001,3.2,3.2
228,FDP,1,48,0,0,1,0,0,0,3,0,0,2.5999999,3.2,2.8,2.8,3
229,SPD,1,42,1,0,3,1,0,0,1,2,0,3.5999999,3.4000001,2.8,2.5999999,3.5999999
230,GREEN,1,50,1,0,4,0,0,1,1,8,0,3,3.1111109,2.666666,2.8888879,2.666666
231,SPD,0,56,1,0,4,0,0,0,1,0,0,3.8,3.2,4,3.8,3
232,GREEN,0,35,0,1,1,0,0,0,1,2,0,4,3.8,3.4000001,3,3.2
233,LINKE,1,55,1,0,1,1,0,0,1,0,0,4,3.2,3.4000001,2.5999999,3
234,GREEN,1,53,1,0,1,0,0,1,1,0,0,4,3.5999999,3.5999999,3.4000001,3.4000001
235,LINKE,1,48,0,1,4,0,0,0,1,1,0,2.8,2.5999999,2.5999999,2.5999999,1.8
236,CDUCSU,0,45,0,0,1,0,0,0,1,11,1333.3334,3.4000001,3,3.2,3.2,2.5999999
237,FDP,1,40,1,0,5,0,0,1,2,2,0,2.8,3,2.5999999,2.4000001,3
238,GREEN,0,47,0,0,2,0,0,1,1,3,0,3,2.8,3,3,2.5999999
239,CDUCSU,0,60,1,0,6,0,1,1,4,6,0,3.2,2.8,3.8,3.5999999,3
240,SPD,0,59,1,0,4,0,0,0,1,4,375,4.5555549,3.4444439,3.777777,3.4444439,2.8888879
241,FDP,0,54,0,1,6,0,0,1,1,7,0,2.777777,2.4444439,2.777777,3,2.1111109
242,CDUCSU,1,50,1,0,1,0,1,0,2,2,1000,2.8888879,2.777777,2.666666,2.8888879,2.777777
243,SPD,0,38,0,0,2,0,0,1,1,9,10000,3.2222221,3,3.5555551,3.4444439,3.1111109
244,SPD,1,56,1,0,3,1,0,0,2,1,0,3.2,3.2,3.2,3.4000001,3.4000001
245,CDUCSU,0,49,1,0,5,0,0,1,1,6,0,2.8888879,2.4444439,3.333333,3.333333,2.333333
246,SPD,0,61,1,0,9,0,0,1,2,1,182.29167,3.666666,3.1111109,3.666666,3.666666,3
247,SPD,1,57,0,0,4,0,0,1,2,2,0,4.1111112,3.777777,3.666666,3.4444439,3.5555551
248,CDUCSU,1,56,1,0,6,0,0,0,2,5,0,3.8888879,3.4444439,3.1111109,2.8888879,3.4444439
249,CDUCSU,0,46,0,1,2,0,0,0,1,8,0,3.1111109,3,3.333333,3.333333,3.2222221
250,LINKE,1,54,1,0,4,0,0,0,1,0,0,2.777777,3.2222221,3.1111109,3.4444439,3.2222221
251,LINKE,1,69,0,1,1,0,0,0,2,0,0,4.2222219,3.5555551,3.666666,3.8888879,3.777777
252,CDUCSU,0,57,0,1,1,0,0,0,1,3,0,3.5555551,2.777777,3.4444439,3.333333,2.4444439
253,SPD,0,38,1,0,1,0,0,0,3,4,0,3.666666,3.666666,3.8888879,3.666666,3.333333
254,CDUCSU,0,30,1,0,1,0,1,0,3,1,0,2.5555551,2.5555551,2.5555551,3.1111109,2.4444439
255,CDUCSU,0,56,0,1,1,0,0,1,0,6,7000,3.4444439,2.777777,3,3.2222221,2.4444439
256,SPD,0,46,0,0,1,0,0,0,2,1,0,3.777777,3.2222221,3.8888879,3.8888879,2.8888879
257,SPD,0,42,1,0,3,0,0,0,2,4,0,3.4444439,2.777777,3.2222221,3.4444439,2.8888879
258,CDUCSU,0,56,0,0,6,1,0,0,2,10,0,3.2222221,3,3.2222221,3.2222221,2.5555551
259,CDUCSU,0,57,0,0,1,1,0,0,1,3,0,3.777777,3.4444439,3.666666,3.333333,3.333333
260,CDUCSU,0,42,1,0,5,1,0,0,1,4,0,3.4444439,2.666666,2.8888879,3.333333,2.666666
261,CDUCSU,0,55,1,0,1,0,1,0,3,3,291.66666,3.8888879,3.1111109,3.333333,3.2222221,3.2222221
262,SPD,0,48,1,0,3,0,0,1,0,2,7000,4.2222219,3.777777,3.666666,3.5555551,3.777777
263,CDUCSU,0,48,1,0,2,0,0,0,4,0,0,2.777777,2.4444439,2.666666,2.777777,2.666666
264,SPD,1,59,1,0,6,0,0,1,1,5,0,3.2222221,3.4444439,2.8888879,3.2222221,3.1111109
265,FDP,0,38,1,0,2,1,0,0,2,2,41.666668,2.777777,3.1111109,2.777777,3,3.1111109
266,CDUCSU,0,55,1,0,2,0,1,1,4,6,0,3.5555551,2.777777,3.2222221,3.1111109,2.4444439
267,CDUCSU,0,56,1,0,5,0,1,1,1,1,0,4.1111112,2.8888879,3.5555551,3.5555551,2.4444439
268,SPD,0,37,1,0,3,0,0,1,0,8,0,3.2222221,3.333333,3.666666,3.5555551,3.1111109
269,LINKE,0,62,0,1,1,0,0,0,3,0,0,4.333333,3.2222221,3.8888879,3.8888879,3.333333
270,LINKE,1,27,1,0,1,0,0,0,1,2,0,2.1111109,2.666666,2.333333,2.4444439,2.2222221
271,CDUCSU,0,40,1,0,4,0,1,0,1,8,0,3.666666,3.2222221,3.666666,3.666666,3.1111109
272,SPD,0,40,1,0,1,0,1,0,1,5,375,3.5555551,2.777777,3,3,2.5555551
273,CDUCSU,0,57,1,0,2,0,0,1,2,8,3500,4,3.4000001,3.5999999,3.2,3.4000001
274,CDUCSU,1,33,1,0,2,0,0,1,1,6,1000,2,3.2222221,3.2222221,3.4444439,2.8888879
275,SPD,0,68,1,0,7,0,1,1,1,6,0,2.777777,2.4444439,2.4444439,2.777777,2.4444439
